model,method,bench,case,efficacy_rate_pre,efficacy_rate_post,efficacy_magnitude_pre,efficacy_magnitude_post,efficacy_log_magnitude_pre,efficacy_log_magnitude_post,generalisation_rate_pre,generalisation_rate_post,generalisation_magnitude_pre,generalisation_magnitude_post,generalisation_log_magnitude_pre,generalisation_log_magnitude_post,specificity_rate_pre,specificity_rate_post,specificity_magnitude_pre,specificity_magnitude_post,specificity_log_magnitude_pre,specificity_log_magnitude_post
gpt2-xl,alphaedit,counterfact,11983,0.0,1.0,-0.03595922752721614,0.94683640534857,-2.2068071365356445,18.528129007667303,0.0,1.0,-0.029482589458517703,0.6808674496941924,-2.8422560691833496,18.99092173203826,0.1,0.8,-0.05294571300751163,0.12204161534685591,-2.8953451037406923,3.592327576875687
gpt2-xl,alphaedit,zsre,zsre_row8097,1.0,1.0,0.06408793531697768,0.9809135916692368,1.8083290241193026,5.028863572850241,1.0,1.0,0.04582614834826376,0.6918792943313737,1.815443827304989,3.903479244807386,1.0,1.0,0.006405524065350823,0.007341761945703792,1.6050552896922454,1.544665010063909
gpt2-xl,anyedit,counterfact,11983,0.0,1.0,-0.03595922752721614,0.9965581540366775,-2.2068071365356445,20.218096484662965,0.0,1.0,-0.029482589458517703,0.524141204976726,-2.8422560691833496,10.515739249036415,0.1,1.0,-0.05294571300751163,0.7291264652309183,-2.8953451037406923,12.966028021310922
gpt2-xl,anyedit,zsre,zsre_row8097,1.0,1.0,0.06408793531697768,0.9946123348433507,1.8083290241193026,5.713520717443316,1.0,1.0,0.04582614834826376,0.9702175441442,1.815443827304989,5.952206648798892,1.0,1.0,0.006405524065350823,0.006588273731269342,1.6050552896922454,1.1766102720284835
gpt2-xl,grace,counterfact,11983,0.0,1.0,-0.03595922752721614,0.9990900693176273,-2.2068071365356445,21.532529291755054,0.0,0.0,-0.029482589458517703,-0.029482589458517703,-2.8422560691833496,-2.8422560691833496,0.1,0.2,-0.05294571300751163,0.05010274563258319,-2.8953451037406923,-0.5723777762730606
gpt2-xl,grace,zsre,zsre_row8097,1.0,1.0,0.06408793531697768,0.9906426560088969,1.8083290241193026,4.991331301047467,1.0,1.0,0.04582614834826376,0.04582614834826376,1.815443827304989,1.815443827304989,1.0,1.0,0.006405524065350823,0.006405524065350823,1.6050552896922454,1.6050552896922454
gpt2-xl,memit,counterfact,11983,0.0,1.0,-0.03595922752721614,0.9409356541705637,-2.2068071365356445,18.42060676217079,0.0,1.0,-0.029482589458517703,0.6675332208510973,-2.8422560691833496,18.99460504576564,0.1,0.9,-0.05294571300751163,0.14358848177154337,-2.8953451037406923,4.026229959726334
gpt2-xl,memit,zsre,zsre_row8097,1.0,1.0,0.06408793531697768,0.979849608423931,1.8083290241193026,5.014898837165674,1.0,1.0,0.04582614834826376,0.6548638277228237,1.815443827304989,3.8639738876809133,1.0,1.0,0.006405524065350823,0.007367601131208292,1.6050552896922454,1.5406461401144043
gpt2-xl,remedi,zsre,zsre_row8097,1.0,1.0,0.06408793531697768,0.06228989449438099,1.8083290241193026,1.7679730751551688,1.0,1.0,0.04582614834826376,0.046967938088113684,1.815443827304989,1.8166036901529878,1.0,1.0,0.006405524065350823,0.006405524065350823,1.6050552896922454,1.6050552896922454
gpt2-xl,rome,counterfact,11983,0.0,1.0,-0.03595922752721614,0.9921712326074837,-2.2068071365356445,16.383652420714498,0.0,1.0,-0.029482589458517703,0.6099172432576101,-2.8422560691833496,13.126775906421244,0.1,0.2,-0.05294571300751163,-0.04912784684572588,-2.8953451037406923,-2.0941698431968687
gpt2-xl,rome,zsre,zsre_row8097,1.0,1.0,0.06408793531697768,0.02635434930796146,1.8083290241193026,3.542897072940832,1.0,1.0,0.04582614834826376,0.025137382655992163,1.815443827304989,3.178168020793237,1.0,1.0,0.006405524065350823,0.006448445455958727,1.6050552896922454,1.627016184385866
